,Product Name,Prices,Description,Reviews
0,Whirlpool 340 L Frost Free Double Door 3 Star Refrigerator,"₹35,490",Inverter Compressor1 Year Comprehensive Warranty on Product and 9 Years Warranty on Compressor,4.3
1,Godrej 260 L Frost Free Double Door 2 Star Refrigerator,"₹21,990",Inverter CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor,4.3
2,SAMSUNG 253 L Frost Free Double Door 3 Star Refrigerator,"₹24,990","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on product, 20 years on compressor, For all Refrigerators with Digital Inverter Compressors, sold on or after 1st Dec 2022 (All Refrigerator apart from Non-Digital Inverter Technology Direct Cool Models) the Warranty period on the Digital Inverter Compressor shall be revised from 10 years to 20 years.",4.4
3,SAMSUNG 236 L Frost Free Double Door 2 Star Refrigerator  with Digital Inverter,"₹22,890","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on product, 20 years on compressor, For all Refrigerators with Digital Inverter Compressors, sold on or after 1st Dec 2022 (All Refrigerator apart from Non-Digital Inverter Technology Direct Cool Models) the Warranty period on the Digital Inverter Compressor shall be revised from 10 years to 20 years.",4.4
4,LG 242 L Frost Free Double Door 3 Star Refrigerator  with Smart Inverter,"₹25,990",Smart Inverter CompressorBuilt-in Stabilizer1 Year on Product and 10 Years on Compressor from LG,4.4
5,SAMSUNG 256 L Frost Free Double Door 2 Star Convertible Refrigerator  with Digital Inverter,"₹26,990","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on product, 20 years on compressor, For all Refrigerators with Digital Inverter Compressors, sold on or after 1st Dec 2022 (All Refrigerator apart from Non-Digital Inverter Technology Direct Cool Models) the Warranty period on the Digital Inverter Compressor shall be revised from 10 years to 20 years.",4.4
6,SAMSUNG 236 L Frost Free Double Door 2 Star Convertible Refrigerator  with Digital Inverter,"₹24,990","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on product, 20 years on compressor, For all Refrigerators with Digital Inverter Compressors, sold on or after 1st Dec 2022 (All Refrigerator apart from Non-Digital Inverter Technology Direct Cool Models) the Warranty period on the Digital Inverter Compressor shall be revised from 10 years to 20 years.",4.4
7,Godrej 244 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹25,790",Inverter CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor,4.1
8,SAMSUNG 253 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹26,490","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on product, 20 years on compressor, For all Refrigerators with Digital Inverter Compressors, sold on or after 1st Dec 2022 (All Refrigerator apart from Non-Digital Inverter Technology Direct Cool Models) the Warranty period on the Digital Inverter Compressor shall be revised from 10 years to 20 years.",4.4
9,SAMSUNG 301 L Frost Free Double Door 2 Star Convertible Refrigerator,"₹32,990",Digital Inverter CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 20 Years Warranty on Compressor,4.3
10,SAMSUNG 322 L Frost Free Double Door 2 Star Convertible Refrigerator  with Digital Inverter,"₹35,990","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on product, 20 years on compressor, For all Refrigerators with Digital Inverter Compressors, sold on or after 1st Dec 2022 (All Refrigerator apart from Non-Digital Inverter Technology Direct Cool Models) the Warranty period on the Digital Inverter Compressor shall be revised from 10 years to 20 years.",4.4
11,Godrej 234 L Frost Free Double Door 2 Star Refrigerator,"₹21,490",Inverter CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor,4.3
12,"SAMSUNG 322 L Frost Free Double Door 2 Star Convertible Refrigerator  with Digi-Touch Cool,Digital Inv...","₹35,490","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on product, 20 years on compressor, For all Refrigerators with Digital Inverter Compressors, sold on or after 1st Dec 2022 (All Refrigerator apart from Non-Digital Inverter Technology Direct Cool Models) the Warranty period on the Digital Inverter Compressor shall be revised from 10 years to 20 years.",4.3
13,Whirlpool 231 L Frost Free Double Door 2 Star Refrigerator,"₹22,790",Inverter CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 9 Years Warranty on Compressor,4.3
14,SAMSUNG 236 L Frost Free Double Door 2 Star Convertible Refrigerator,"₹24,490",Digital Inverter CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 20 Years Warranty on Compressor,4.4
15,Godrej 223 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹23,490",Inverter CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor,4.1
16,Whirlpool 240 L Frost Free Triple Door Refrigerator,"₹25,990",Normal CompressorBuilt-in Stabilizer1 Year on Product and 10 Years on Compressor From Whirlpool,4.4
17,Whirlpool 300 L Frost Free Triple Door Refrigerator,"₹31,090",Normal CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years on Compressor From Whirlpool,4.3
18,Godrej 236 L Frost Free Double Door 2 Star Refrigerator,"₹19,990",Inverter CompressorBuilt-in Stabilizer1 Year Warranty on product and 10 Years Warranty on Compressor from Godrej,4.3
19,Whirlpool 265 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹27,740",Digital InverterBuilt-in Stabilizer1 Year on Unit and 10 Years on Compressor from Whirlpool,4.3
20,Haier 240 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹23,490",Normal CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor & fan motor,4.4
21,SAMSUNG 236 L Frost Free Double Door 2 Star Refrigerator  with Digital Inverter,"₹23,990","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on product, 20 years on compressor, For all Refrigerators with Digital Inverter Compressors, sold on or after 1st Dec 2022 (All Refrigerator apart from Non-Digital Inverter Technology Direct Cool Models) the Warranty period on the Digital Inverter Compressor shall be revised from 10 years to 20 years.",4.4
22,"LG 343 L Frost Free Double Door 3 Star Convertible Refrigerator  with Inverter Compressor, Wi-Fi, Door...","₹41,990",Smart Inverter CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor From LG,4.5
23,Godrej 234 L Frost Free Double Door 2 Star Refrigerator,"₹21,490",Inverter CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor,4.3
24,Godrej 223 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹23,490",Inverter CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor,4.1
25,Godrej 272 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹29,490",Inverter CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor,4.1
26,SAMSUNG 253 L Frost Free Double Door 3 Star Refrigerator,"₹24,990","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on product, 20 years on compressor, For all Refrigerators with Digital Inverter Compressors, sold on or after 1st Dec 2022 (All Refrigerator apart from Non-Digital Inverter Technology Direct Cool Models) the Warranty period on the Digital Inverter Compressor shall be revised from 10 years to 20 years.",4.4
27,SAMSUNG 236 L Frost Free Double Door 2 Star Refrigerator  with Digital Inverter,"₹22,890","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on product, 20 years on compressor, For all Refrigerators with Digital Inverter Compressors, sold on or after 1st Dec 2022 (All Refrigerator apart from Non-Digital Inverter Technology Direct Cool Models) the Warranty period on the Digital Inverter Compressor shall be revised from 10 years to 20 years.",4.4
28,LG 242 L Frost Free Double Door 3 Star Refrigerator  with Smart Inverter,"₹25,990",Smart Inverter CompressorBuilt-in Stabilizer1 Year on Product and 10 Years on Compressor from LG,4.4
29,SAMSUNG 236 L Frost Free Double Door 2 Star Convertible Refrigerator  with Digital Inverter,"₹24,990","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on product, 20 years on compressor, For all Refrigerators with Digital Inverter Compressors, sold on or after 1st Dec 2022 (All Refrigerator apart from Non-Digital Inverter Technology Direct Cool Models) the Warranty period on the Digital Inverter Compressor shall be revised from 10 years to 20 years.",4.4
30,SAMSUNG 256 L Frost Free Double Door 2 Star Convertible Refrigerator  with Digital Inverter,"₹26,990","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on product, 20 years on compressor, For all Refrigerators with Digital Inverter Compressors, sold on or after 1st Dec 2022 (All Refrigerator apart from Non-Digital Inverter Technology Direct Cool Models) the Warranty period on the Digital Inverter Compressor shall be revised from 10 years to 20 years.",4.4
31,Godrej 244 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹25,790",Inverter CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor,4.1
32,SAMSUNG 253 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹26,490","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on product, 20 years on compressor, For all Refrigerators with Digital Inverter Compressors, sold on or after 1st Dec 2022 (All Refrigerator apart from Non-Digital Inverter Technology Direct Cool Models) the Warranty period on the Digital Inverter Compressor shall be revised from 10 years to 20 years.",4.4
33,SAMSUNG 301 L Frost Free Double Door 2 Star Convertible Refrigerator,"₹32,990",Digital Inverter CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 20 Years Warranty on Compressor,4.3
34,SAMSUNG 322 L Frost Free Double Door 2 Star Convertible Refrigerator  with Digital Inverter,"₹35,990","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on product, 20 years on compressor, For all Refrigerators with Digital Inverter Compressors, sold on or after 1st Dec 2022 (All Refrigerator apart from Non-Digital Inverter Technology Direct Cool Models) the Warranty period on the Digital Inverter Compressor shall be revised from 10 years to 20 years.",4.4
35,Godrej 234 L Frost Free Double Door 2 Star Refrigerator,"₹21,490",Inverter CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor,4.3
36,"SAMSUNG 322 L Frost Free Double Door 2 Star Convertible Refrigerator  with Digi-Touch Cool,Digital Inv...","₹35,490","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on product, 20 years on compressor, For all Refrigerators with Digital Inverter Compressors, sold on or after 1st Dec 2022 (All Refrigerator apart from Non-Digital Inverter Technology Direct Cool Models) the Warranty period on the Digital Inverter Compressor shall be revised from 10 years to 20 years.",4.3
37,Whirlpool 231 L Frost Free Double Door 2 Star Refrigerator,"₹22,790",Inverter CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 9 Years Warranty on Compressor,4.3
38,SAMSUNG 236 L Frost Free Double Door 2 Star Convertible Refrigerator,"₹24,490",Digital Inverter CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 20 Years Warranty on Compressor,4.4
39,Whirlpool 265 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹27,740",Digital InverterBuilt-in Stabilizer1 Year on Unit and 10 Years on Compressor from Whirlpool,4.3
40,Whirlpool 240 L Frost Free Triple Door Refrigerator,"₹25,990",Normal CompressorBuilt-in Stabilizer1 Year on Product and 10 Years on Compressor From Whirlpool,4.4
41,Whirlpool 300 L Frost Free Triple Door Refrigerator,"₹31,090",Normal CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years on Compressor From Whirlpool,4.3
42,Godrej 236 L Frost Free Double Door 2 Star Refrigerator,"₹19,990",Inverter CompressorBuilt-in Stabilizer1 Year Warranty on product and 10 Years Warranty on Compressor from Godrej,4.3
43,Whirlpool 308 l Frost Free Double Door 2 Star Refrigerator,"₹33,690",Inverter CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 9 Years Warranty on Compressor,4.2
44,Haier 240 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹23,490",Normal CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor & fan motor,4.4
45,"LG 343 L Frost Free Double Door 3 Star Convertible Refrigerator  with Inverter Compressor, Wi-Fi, Door...","₹41,990",Smart Inverter CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor From LG,4.5
